Date,Open,High,Low,Close,Adj Close,Volume
2021-04-27,1564.060059,1570.579956,1553.030029,1559.229980,1559.229980,19043900
2021-04-28,1565.699951,1578.619995,1562.839966,1576.790039,1576.790039,13603100
2021-04-29,1584.550049,1592.900024,1583.979980,1590.459961,1590.459961,12642900
2021-04-30,1591.119995,1593.229980,1580.739990,1583.130005,1583.130005,14643800
2021-05-05,1581.859985,1583.270020,1547.349976,1549.219971,1549.219971,13820400
2021-05-06,1553.270020,1575.369995,1551.420044,1571.910034,1571.910034,10170200
2021-05-07,1582.250000,1589.209961,1577.189941,1585.030029,1585.030029,10863500
2021-05-10,1596.609985,1596.800049,1576.790039,1588.150024,1588.150024,10488500
2021-05-11,1579.250000,1590.540039,1566.910034,1578.930054,1578.930054,11679000
2021-05-12,1576.660034,1578.339966,1557.939941,1571.849976,1571.849976,11216400
2021-05-13,1554.099976,1561.800049,1501.020020,1548.130005,1548.130005,15380300
2021-05-14,1555.719971,1558.859985,1532.290039,1549.479980,1549.479980,11225500
2021-05-17,1542.229980,1554.079956,1529.689941,1549.160034,1549.160034,15165200
2021-05-18,1559.930054,1570.369995,1558.849976,1566.800049,1566.800049,15861200
2021-05-19,1561.969971,1570.050049,1557.829956,1562.239990,1562.239990,14202000
2021-05-20,1565.390015,1568.719971,1554.540039,1554.540039,1554.540039,11873300
2021-05-21,1559.819946,1560.510010,1546.550049,1552.439941,1552.439941,12633000
2021-05-24,1555.229980,1559.599976,1547.140015,1551.849976,1551.849976,12485200
2021-05-25,1562.890015,1572.030029,1560.130005,1568.579956,1568.579956,10342900
2021-05-27,1570.500000,1587.540039,1568.890015,1582.959961,1582.959961,11667600
2021-05-28,1590.439941,1595.449951,1579.530029,1581.979980,1581.979980,11565500
2021-05-31,1582.560059,1594.650024,1578.089966,1593.589966,1593.589966,12498700
2021-06-01,1602.650024,1620.530029,1598.660034,1618.589966,1618.589966,13305800
2021-06-02,1624.829956,1627.670044,1612.939941,1617.550049,1617.550049,12570400
2021-06-04,1613.719971,1622.890015,1611.339966,1611.530029,1611.530029,11939800
2021-06-07,1618.739990,1625.560059,1611.780029,1612.589966,1612.589966,11673900
2021-06-08,1614.849976,1618.699951,1605.310059,1612.880005,1612.880005,14218100
2021-06-09,1618.060059,1628.420044,1617.829956,1626.270020,1626.270020,11055300
2021-06-10,1631.920044,1636.219971,1623.569946,1625.270020,1625.270020,14273500
2021-06-11,1632.040039,1636.920044,1628.140015,1636.560059,1636.560059,15376400
2021-06-14,1641.680054,1642.800049,1629.329956,1633.060059,1633.060059,11952900
2021-06-15,1634.449951,1636.099976,1618.599976,1622.310059,1622.310059,10420800
2021-06-16,1622.780029,1631.229980,1619.229980,1624.790039,1624.790039,7869900
2021-06-17,1621.380005,1631.689941,1615.619995,1617.650024,1617.650024,10010600
2021-06-18,1619.880005,1622.430054,1604.439941,1612.979980,1612.979980,11421200
2021-06-21,1596.959961,1602.660034,1590.550049,1601.130005,1601.130005,10636400
2021-06-22,1610.849976,1613.660034,1598.560059,1599.229980,1599.229980,8937700
2021-06-23,1605.310059,1606.390015,1590.630005,1592.079956,1592.079956,8337400
2021-06-24,1587.729980,1589.329956,1569.930054,1585.719971,1585.719971,9499900
2021-06-25,1592.020020,1596.160034,1577.630005,1582.670044,1582.670044,7379800
2021-06-28,1572.180054,1581.339966,1565.310059,1579.170044,1579.170044,7616000
2021-06-29,1580.890015,1596.079956,1579.439941,1591.430054,1591.430054,7264300
2021-06-30,1597.260010,1600.569946,1584.469971,1587.790039,1587.790039,8653600
2021-07-01,1591.040039,1596.359985,1584.689941,1593.750000,1593.750000,9308100
2021-07-02,1591.369995,1596.050049,1574.920044,1578.489990,1578.489990,9145600
2021-07-05,1580.689941,1582.459961,1573.670044,1579.280029,1579.280029,7261100
2021-07-06,1585.959961,1594.150024,1585.339966,1591.430054,1591.430054,8137100
2021-07-07,1585.040039,1587.699951,1574.140015,1576.599976,1576.599976,13275400
2021-07-08,1563.959961,1567.329956,1540.560059,1543.670044,1543.670044,13851300
2021-07-09,1537.969971,1554.599976,1535.689941,1552.089966,1552.089966,9741300
2021-07-12,1558.630005,1561.719971,1544.709961,1549.839966,1549.839966,6930100
2021-07-13,1557.260010,1571.819946,1555.880005,1570.989990,1570.989990,7348100
2021-07-14,1570.119995,1573.040039,1561.000000,1569.699951,1569.699951,23024900
2021-07-15,1575.050049,1580.430054,1570.959961,1572.010010,1572.010010,7782400
2021-07-16,1569.229980,1575.660034,1567.170044,1574.369995,1574.369995,7923900
2021-07-19,1557.810059,1563.880005,1551.790039,1556.010010,1556.010010,6192500
